article_slug,text_answer,right
article_1,La terre entière,FALSE
article_1,Je suis seul au monde,FALSE
article_1,20% de la population,TRUE
article_2,Donnent envie de chocolat,FALSE
article_2,Font danser de joie,FALSE
article_2,Activent le mode survie,TRUE
article_3,Il marche trop bien,FALSE
article_3,Il renforce la phobie,TRUE
article_3,Il règle mon problème,FALSE
article_4,C’est la preuve qu’on va se crasher,FALSE
article_4,L’avion ne doit jamais faire du bruit,FALSE
article_4,"C’est normal, la structure peut bouger",TRUE
article_5,10 fois plus sûr,FALSE
article_5,100 fois plus sûr,FALSE
article_5,1000 fois plus sûr,TRUE
article_6,Un ventilateur le pousse vers le haut.,FALSE
article_6,"La magie. Mais chut, c’est un secret.",FALSE
article_6,La portance créée par les ailes.,TRUE
article_7,Une danse des passagers,FALSE
article_7,Une bosse sur une autoroute,TRUE
article_7,Un vrai danger,FALSE
